,Name,Category,Effect
1016,Tamato Berry,Berries,Increases Friendship but lowers Speed EVs.
1017,Tandemaus Fur,General items,"Material obtained after defeating/catching Tandemaus, used in TM crafting."
1018,Tanga Berry,Berries,Weakens a supereffective Bug-type attack against the holding Pokémon.
1019,Tapunium Z,Hold items,"Allows the Tapus to upgrade Nature's Madness to a Z-Move, Guardian of Alola."
1020,Tarountula Thread,General items,"Material obtained after defeating/catching Tarountula, used in TM crafting."
1021,Tart Apple,Hold items,Evolves Applin into Flapple.
1022,Tatsugiri Scales,General items,"Material obtained after defeating/catching Tatsugiri, used in TM crafting."
1023,Tauros Hair,General items,"Material obtained after defeating/catching Tauros, used in TM crafting."
1024,Tectonic Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Tectonic Room at Ramanas Park.
1025,Teddiursa Claw,General items,"Material obtained after defeating/catching Teddiursa, used in TM crafting."
1026,Tera Orb,None,"An orb that holds within it the power to crystallize. When it is charged with energy, it can be used to cause Pokémon to Terastallize."
1027,Terrain Extender,Hold items,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder's move or Ability.
1028,Thick Club,Hold items,Increases Attack when held by Cubone or Marowak.
1029,Throat Spray,Hold items,Raises Sp. Atk when a sound-based move is used.
1030,Thunder Stone,General items,Evolves certain species of Pokémon.
1031,Timer Ball,Pokeballs,Catches Pokémon with a higher rate the more turns have occurred (up to 4x).
1032,Timid Mint,Battle items,Changes the Pokémon's stats to match the Timid nature.
1033,Tin of Beans,General items,"One of the many ingredients that can be used for cooking at your camp. When simmered, the beans suffuse a dish with their mild flavor."
1034,Tinkatink Hair,General items,"Material obtained after defeating/catching Tinkatink, used in TM crafting."
1035,Tiny Bamboo Shoot,None,A small and rare bamboo shoot. It’s quite popular with a certain class of gourmands.
1036,Tiny Mushroom,General items,A small and rare mushroom. It is sought after by collectors.
1037,TM00,Machines,Teaches the move Mega Punch.
1038,TM001,Machines,Teaches the move Mega Punch/Dynamic Punch/Focus Punch/Hone Claws/Work Up/Headbutt/Mega Kick/Take Down.
1039,TM002,Machines,Teaches the move Razor Wind/Headbutt/Dragon Claw/Taunt/Pay Day/Charm.
1040,TM003,Machines,Teaches the move Swords Dance/Curse/Water Pulse/Psyshock/Helping Hand/Fire Punch/Fake Tears.
1041,TM004,Machines,Teaches the move Whirlwind/Rollout/Calm Mind/Teleport/Ice Punch/Agility.
1042,TM005,Machines,Teaches the move Mega Kick/Roar/Rest/Thunder Punch/Mud-Slap.
1043,TM006,Machines,Teaches the move Toxic/Light Screen/Fly/Scary Face.
1044,TM007,Machines,Teaches the move Horn Drill/Zap Cannon/Hail/Protect/Pin Missile/Protect.
1045,TM008,Machines,Teaches the move Body Slam/Rock Smash/Bulk Up/Substitute/Hyper Beam/Fire Fang.
1046,TM009,Machines,Teaches the move Take Down/Psych Up/Bullet Seed/Venoshock/Reflect/Giga Impact/Thunder Fang.
1047,TM010,Machines,Teaches the move Double-Edge/Hidden Power/Dig/Magical Leaf/Work Up/Ice Fang.
1048,TM011,Machines,Teaches the move BubbleBeam/Sunny Day/Will-O-Wisp/Solar Beam/Water Pulse.
1049,TM012,Machines,Teaches the move Water Gun/Sweet Scent/Taunt/Facade/Solar Blade/Low Kick.
1050,TM013,Machines,Teaches the move Ice Beam/Snore/Brick Break/Fire Spin/Acid Spray.
1051,TM014,Machines,Teaches the move Blizzard/Fly/Thunder Wave/Acrobatics.
1052,TM015,Machines,Teaches the move Hyper Beam/Seismic Toss/Dig/Struggle Bug.
1053,TM016,Machines,Teaches the move Pay Day/Icy Wind/Light Screen/Thunder Wave/Screech/Psybeam.
1054,TM017,Machines,Teaches the move Submission/Protect/Dragon Tail/Light Screen/Confuse Ray.
1055,TM018,Machines,Teaches the move Counter/Rain Dance/U-turn/Reflect/Thief.
1056,TM019,Machines,Teaches the move Seismic Toss/Giga Drain/Telekinesis/Roost/Iron Tail/Safeguard/Disarming Voice.
1057,TM020,Machines,Teaches the move Rage/Endure/Safeguard/Dark Pulse/Self-Destruct/Trailblaze.
1058,TM021,Machines,Teaches the move Mega Drain/Frustration/Foul Play/Rest/Dazzling Gleam/Pounce.
1059,TM022,Machines,Teaches the move SolarBeam/Rock Slide/Chilling Water.
1060,TM023,Machines,Teaches the move Dragon Rage/Iron Tail/Smack Down/Thunder Punch/Thief/Charge Beam.
1061,TM024,Machines,Teaches the move Thunderbolt/DragonBreath/X-Scissor/Snore/Fire Spin.
1062,TM025,Machines,Teaches the move Thunder/Waterfall/Protect/Facade.
1063,TM026,Machines,Teaches the move Earthquake/Poison Jab/Scary Face/Poison Tail.
1064,TM027,Machines,Teaches the move Fissure/Return/Toxic/Icy Wind/Low Sweep/Aerial Ace.
1065,TM028,Machines,Teaches the move Dig/Leech Life/Tri Attack/Giga Drain/Bulldoze.
1066,TM029,Machines,Teaches the move Psychic/Scald/Charm/Hex.
1067,TM030,Machines,Teaches the move Teleport/Shadow Ball/Bulk Up/Steel Wing/Snarl.
1068,TM031,Machines,Teaches the move Mimic/Mud-Slap/Brick Break/Fire Punch/Attract/Metal Claw.
1069,TM032,Machines,Teaches the move Double Team/Dazzling Gleam/Sandstorm/Swift.
1070,TM033,Machines,Teaches the move Ice Punch/Reflect/Calm Mind/Rain Dance/Magical Leaf.
1071,TM034,Machines,Teaches the move Bide/Swagger/Shock Wave/Sludge Wave/Dragon Pulse/Sunny Day/Icy Wind.
1072,TM035,Machines,Teaches the move Metronome/Sleep Talk/Flamethrower/Ice Punch/Hail/Mud Shot.
1073,TM036,Machines,Teaches the move Self-Destruct/Sludge Bomb/Thunderbolt/Whirlpool/Rock Tomb.
1074,TM037,Machines,Teaches the move Egg Bomb/Sandstorm/Flamethrower/Beat Up/Draining Kiss.
1075,TM038,Machines,Teaches the move Fire Blast/Thunder/Will-O-Wisp/Flame Charge.
1076,TM039,Machines,Teaches the move Swift/Rock Tomb/Outrage/Facade/Low Sweep.
1077,TM040,Machines,Teaches the move Skull Bash/Defense Curl/Aerial Ace/Psychic/Swift/Air Cutter.
1078,TM041,Machines,Teaches the move Soft-Boiled/Thunder Punch/Torment/Earthquake/Helping Hand/Stored Power.
1079,TM042,Machines,Teaches the move Dream Eater/Facade/Self-Destruct/Revenge/Night Shade.
1080,TM043,Machines,Teaches the move Sky Attack/Detect/Secret Power/Flame Charge/Shadow Ball/Brick Break/Volt Switch/Fling.
1081,TM044,Machines,Teaches the move Rest/Play Rough/Imprison/Dragon Tail.
1082,TM045,Machines,Teaches the move Thunder Wave/Attract/Solar Beam/Dive/Venoshock.
1083,TM046,Machines,Teaches the move Psywave/Thief/Fire Blast/Weather Ball/Avalanche.
1084,TM047,Machines,Teaches the move Explosion/Steel Wing/Low Sweep/Surf/Fake Tears/Endure.
1085,TM048,Machines,Teaches the move Rock Slide/Fire Punch/Skill Swap/Round/Hyper Beam/Rock Tomb/Volt Switch.
1086,TM049,Machines,Teaches the move Tri Attack/Fury Cutter/Snatch/Echoed Voice/Superpower/Sand Tomb/Scald/Sunny Day.
1087,TM050,Machines,Teaches the move Substitute/Nightmare/Overheat/Roost/Bullet Seed/Rain Dance.
1088,TM051,Machines,Teaches the move Roost/Ally Switch/Steel Wing/Blizzard/Icicle Spear/Sandstorm.
1089,TM052,Machines,Teaches the move Focus Blast/Sludge Bomb/Bounce/Snowscape.
1090,TM053,Machines,Teaches the move Energy Ball/Mega Drain/Mud Shot/Smart Strike.
1091,TM054,Machines,Teaches the move False Swipe/Flash Cannon/Rock Blast/Psyshock.
1092,TM055,Machines,Teaches the move Brine/Scald/Ice Beam/Dig.
1093,TM056,Machines,Teaches the move Fling/Stealth Rock/U-turn/Bullet Seed.
1094,TM057,Machines,Teaches the move Charge Beam/Pay Day/Payback/False Swipe.
1095,TM058,Machines,Teaches the move Endure/Sky Drop/Drill Run/Assurance/Brick Break.
1096,TM059,Machines,Teaches the move Dragon Pulse/Incinerate/Brutal Swing/Dream Eater/Fling/Zen Headbutt.
1097,TM060,Machines,Teaches the move Drain Punch/Quash/Megahorn/Power Swap/U-turn.
1098,TM061,Machines,Teaches the move Will-O-Wisp/Guard Swap/Shadow Claw.
1099,TM062,Machines,Teaches the move Silver Wind/Acrobatics/Speed Swap/Bug Buzz/Foul Play.
1100,TM063,Machines,Teaches the move Embargo/Drain Punch/Nasty Plot/Psychic Fangs.
1101,TM064,Machines,Teaches the move Explosion/Avalanche/Bulk Up.
1102,TM065,Machines,Teaches the move Shadow Claw/Air Slash.
1103,TM066,Machines,Teaches the move Payback/Thunder Fang/Body Slam.
1104,TM067,Machines,Teaches the move Recycle/Retaliate/Smart Strike/Ice Fang/Fire Punch.
1105,TM068,Machines,Teaches the move Giga Impact/Fire Fang/Thunder Punch.
1106,TM069,Machines,Teaches the move Rock Polish/Psycho Cut/Ice Punch.
1107,TM070,Machines,Teaches the move Flash/Aurora Veil/Trick Room/Sleep Talk.
1108,TM071,Machines,Teaches the move Stone Edge/Wonder Room/Seed Bomb.
1109,TM072,Machines,Teaches the move Avalanche/Volt Switch/Magic Room/Electro Ball.
1110,TM073,Machines,Teaches the move Thunder Wave/Cross Poison/Drain Punch.
1111,TM074,Machines,Teaches the move Gyro Ball/Venoshock/Reflect.
1112,TM075,Machines,Teaches the move Swords Dance/Low Sweep/Light Screen.
1113,TM076,Machines,Teaches the move Stealth Rock/Struggle Bug/Fly/Round/Rock Blast.
1114,TM077,Machines,Teaches the move Psych Up/Hex/Waterfall.
1115,TM078,Machines,Teaches the move Captivate/Bulldoze/Acrobatics/Snarl/Dragon Claw.
1116,TM079,Machines,Teaches the move Dark Pulse/Frost Breath/Retaliate/Dazzling Gleam.
1117,TM080,Machines,Teaches the move Rock Slide/Volt Switch/Metronome.
1118,TM081,Machines,Teaches the move X-Scissor/Bulldoze/Grass Knot.
1119,TM082,Machines,Teaches the move Sleep Talk/Dragon Tail/Electroweb/Thunder Wave.
1120,TM083,Machines,Teaches the move Natural Gift/Work Up/Infestation/Razor Shell/Bulldoze/Poison Jab.
1121,TM084,Machines,Teaches the move Poison Jab/Tail Slap/Stomping Tantrum.
1122,TM085,Machines,Teaches the move Dream Eater/Snarl/Rest.
1123,TM086,Machines,Teaches the move Grass Knot/Phantom Force/Rock Slide.
1124,TM087,Machines,Teaches the move Swagger/Draining Kiss/Taunt.
1125,TM088,Machines,Teaches the move Pluck/Sleep Talk/Grassy Terrain/Swords Dance.
1126,TM089,Machines,Teaches the move U-turn/Misty Terrain/Body Press.
1127,TM090,Machines,Teaches the move Substitute/Electric Terrain/Spikes.
1128,TM091,Machines,Teaches the move Flash Cannon/Psychic Terrain/Toxic Spikes.
1129,TM092,Machines,Teaches the move Trick Room/Mystical Fire/Imprison.
1130,TM093,Machines,Teaches the move Wild Charge/Eerie Impulse/Cut/Flash Cannon.
1131,TM094,Machines,Teaches the move Rock Smash/Surf/False Swipe/Fly/Dark Pulse.
1132,TM095,Machines,Teaches the move Snarl/Air Slash/Surf/Leech Life.
1133,TM096,Machines,Teaches the move Nature Power/Smart Strike/Strength/Eerie Impulse.
1134,TM097,Machines,Teaches the move Dark Pulse/Brutal Swing/Defog/Fly.
1135,TM098,Machines,Teaches the move Power-Up Punch/Waterfall/Stomping Tantrum/Rock Smash/Skill Swap.
1136,TM099,Machines,Teaches the move Dazzling Gleam/Breaking Swipe/Waterfall/Iron Head.
1137,TM100,Machines,Teaches the move Confide/Rock Climb/Dragon Dance.
1138,TM101,Machines,Teaches the move Power Gem.
1139,TM102,Machines,Teaches the move Gunk Shot.
1140,TM103,Machines,Teaches the move Substitute.
1141,TM104,Machines,Teaches the move Iron Defense.
1142,TM105,Machines,Teaches the move X-Scissor.
1143,TM106,Machines,Teaches the move Drill Run.
1144,TM107,Machines,Teaches the move Will-O-Wisp.
1145,TM108,Machines,Teaches the move Crunch.
1146,TM109,Machines,Teaches the move Trick.
1147,TM110,Machines,Teaches the move Liquidation.
1148,TM111,Machines,Teaches the move Giga Drain.
1149,TM112,Machines,Teaches the move Aura Sphere.
1150,TM113,Machines,Teaches the move Tailwind.
1151,TM114,Machines,Teaches the move Shadow Ball.
1152,TM115,Machines,Teaches the move Dragon Pulse.
1153,TM116,Machines,Teaches the move Stealth Rock.
1154,TM117,Machines,Teaches the move Hyper Voice.
1155,TM118,Machines,Teaches the move Heat Wave.
1156,TM119,Machines,Teaches the move Energy Ball.
1157,TM120,Machines,Teaches the move Psychic.
1158,TM121,Machines,Teaches the move Heavy Slam.
1159,TM122,Machines,Teaches the move Encore.
1160,TM123,Machines,Teaches the move Surf.
1161,TM124,Machines,Teaches the move Ice Spinner.
1162,TM125,Machines,Teaches the move Flamethrower.
1163,TM126,Machines,Teaches the move Thunderbolt.
1164,TM127,Machines,Teaches the move Play Rough.
1165,TM128,Machines,Teaches the move Amnesia.
1166,TM129,Machines,Teaches the move Calm Mind.
1167,TM130,Machines,Teaches the move Helping Hand.
1168,TM131,Machines,Teaches the move Pollen Puff.
1169,TM132,Machines,Teaches the move Baton Pass.
1170,TM133,Machines,Teaches the move Earth Power.
1171,TM134,Machines,Teaches the move Reversal.
1172,TM135,Machines,Teaches the move Ice Beam.
1173,TM136,Machines,Teaches the move Electric Terrain.
1174,TM137,Machines,Teaches the move Grassy Terrain.
1175,TM138,Machines,Teaches the move Psychic Terrain.
1176,TM139,Machines,Teaches the move Misty Terrain.
1177,TM140,Machines,Teaches the move Nasty Plot.
1178,TM141,Machines,Teaches the move Fire Blast.
1179,TM142,Machines,Teaches the move Hydro Pump.
1180,TM143,Machines,Teaches the move Blizzard.
1181,TM144,Machines,Teaches the move Fire Pledge.
1182,TM145,Machines,Teaches the move Water Pledge.
1183,TM146,Machines,Teaches the move Grass Pledge.
1184,TM147,Machines,Teaches the move Wild Charge.
1185,TM148,Machines,Teaches the move Sludge Bomb.
1186,TM149,Machines,Teaches the move Earthquake.
1187,TM150,Machines,Teaches the move Stone Edge.
1188,TM151,Machines,Teaches the move Phantom Force.
1189,TM152,Machines,Teaches the move Giga Impact.
1190,TM153,Machines,Teaches the move Blast Burn.
1191,TM154,Machines,Teaches the move Hydro Cannon.
1192,TM155,Machines,Teaches the move Frenzy Plant.
1193,TM156,Machines,Teaches the move Outrage.
1194,TM157,Machines,Teaches the move Overheat.
1195,TM158,Machines,Teaches the move Focus Blast.
1196,TM159,Machines,Teaches the move Leaf Storm.
1197,TM160,Machines,Teaches the move Hurricane.
1198,TM161,Machines,Teaches the move Trick Room.
1199,TM162,Machines,Teaches the move Bug Buzz.
1200,TM163,Machines,Teaches the move Hyper Beam.
1201,TM164,Machines,Teaches the move Brave Bird.
1202,TM165,Machines,Teaches the move Flare Blitz.
1203,TM166,Machines,Teaches the move Thunder.
1204,TM167,Machines,Teaches the move Close Combat.
1205,TM168,Machines,Teaches the move Solar Beam.
1206,TM169,Machines,Teaches the move Draco Meteor.
1207,TM170,Machines,Teaches the move Steel Beam.
1208,TM171,Machines,Teaches the move Tera Blast.
1209,TM172,Machines,Teaches the move Roar.
1210,TM173,Machines,Teaches the move Charge.
1211,TM174,Machines,Teaches the move Haze.
1212,TM175,Machines,Teaches the move Toxic.
1213,TM176,Machines,Teaches the move Sand Tomb.
1214,TM177,Machines,Teaches the move Spite.
1215,TM178,Machines,Teaches the move Gravity.
1216,TM179,Machines,Teaches the move Smack Down.
1217,TM180,Machines,Teaches the move Gyro Ball.
1218,TM181,Machines,Teaches the move Knock Off.
1219,TM182,Machines,Teaches the move Bug Bite.
1220,TM183,Machines,Teaches the move Super Fang.
1221,TM184,Machines,Teaches the move Vacuum Wave.
1222,TM185,Machines,Teaches the move Lunge.
1223,TM186,Machines,Teaches the move High Horsepower.
1224,TM187,Machines,Teaches the move Icicle Spear.
1225,TM188,Machines,Teaches the move Scald.
1226,TM189,Machines,Teaches the move Heat Crash.
1227,TM190,Machines,Teaches the move Solar Blade.
1228,TM191,Machines,Teaches the move Uproar.
1229,TM192,Machines,Teaches the move Focus Punch.
1230,TM193,Machines,Teaches the move Weather Ball.
1231,TM194,Machines,Teaches the move Grassy Glide.
1232,TM195,Machines,Teaches the move Burning Jealousy.
1233,TM196,Machines,Teaches the move Flip Turn.
1234,TM197,Machines,Teaches the move Dual Wingbeat.
1235,TM198,Machines,Teaches the move Poltergeist.
1236,TM199,Machines,Teaches the move Lash Out.
1237,TM200,Machines,Teaches the move Scale Shot.
1238,TM201,Machines,Teaches the move Misty Explosion.
1239,TMV Pass,General items,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.
1240,Toedscool Flaps,General items,"Material obtained after defeating/catching Toedscool, used in TM crafting."
1241,Tofu,None,An ingredient with a touch of sweetness. It’s unclear how well this raw block of tofu will serve as a sandwich filling.
1242,Tomato,None,"This very tart ingredient has a lot of savory elements to it, making it popular with many Pokémon."
1243,Torkoal Coal,General items,"Material obtained after defeating/catching Torkoal, used in TM crafting."
1244,Tough Candy,Medicine,Increases a Pokémon's Defense stat by 1.
1245,Tough Candy L,Medicine,Increases a Pokémon's Defense stat.
1246,Tough Candy XL,Medicine,Increases a Pokémon's Defense stat.
1247,Toxel Sparks,General items,"Material obtained after defeating/catching Toxel, used in TM crafting."
1248,Toxic Orb,Hold items,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.
1249,Toxic Plate,Hold items,Increases power of Poison-type moves. Changes Arceus' type to Poison.
1250,TR00,Machines,Teaches the move Swords Dance.
1251,TR01,Machines,Teaches the move Body Slam.
1252,TR02,Machines,Teaches the move Flamethrower.
1253,TR03,Machines,Teaches the move Hydro Pump.
1254,TR04,Machines,Teaches the move Surf.
1255,TR05,Machines,Teaches the move Ice Beam.
1256,TR06,Machines,Teaches the move Blizzard.
1257,TR07,Machines,Teaches the move Low Kick.
1258,TR08,Machines,Teaches the move Thunderbolt.
1259,TR09,Machines,Teaches the move Thunder.
1260,TR10,Machines,Teaches the move Earthquake.
1261,TR11,Machines,Teaches the move Psychic.
1262,TR12,Machines,Teaches the move Agility.
1263,TR13,Machines,Teaches the move Focus Energy.
1264,TR14,Machines,Teaches the move Metronome.
1265,TR15,Machines,Teaches the move Fire Blast.
1266,TR16,Machines,Teaches the move Waterfall.
1267,TR17,Machines,Teaches the move Amnesia.
1268,TR18,Machines,Teaches the move Leech Life.
1269,TR19,Machines,Teaches the move Tri Attack.
1270,TR20,Machines,Teaches the move Substitute.
1271,TR21,Machines,Teaches the move Reversal.
1272,TR22,Machines,Teaches the move Sludge Bomb.
1273,TR23,Machines,Teaches the move Spikes.
1274,TR24,Machines,Teaches the move Outrage.
1275,TR25,Machines,Teaches the move Psyshock.
1276,TR26,Machines,Teaches the move Endure.
1277,TR27,Machines,Teaches the move Sleep Talk.
1278,TR28,Machines,Teaches the move Megahorn.
1279,TR29,Machines,Teaches the move Baton Pass.
1280,TR30,Machines,Teaches the move Encore.
1281,TR31,Machines,Teaches the move Iron Tail.
1282,TR32,Machines,Teaches the move Crunch.
1283,TR33,Machines,Teaches the move Shadow Ball.
1284,TR34,Machines,Teaches the move Future Sight.
1285,TR35,Machines,Teaches the move Uproar.
1286,TR36,Machines,Teaches the move Heat Wave.
1287,TR37,Machines,Teaches the move Taunt.
1288,TR38,Machines,Teaches the move Trick.
1289,TR39,Machines,Teaches the move Superpower.
1290,TR40,Machines,Teaches the move Skill Swap.
1291,TR41,Machines,Teaches the move Blaze Kick.
1292,TR42,Machines,Teaches the move Hyper Voice.
1293,TR43,Machines,Teaches the move Overheat.
1294,TR44,Machines,Teaches the move Cosmic Power.
1295,TR45,Machines,Teaches the move Muddy Water.
1296,TR46,Machines,Teaches the move Iron Defense.
1297,TR47,Machines,Teaches the move Dragon Claw.
1298,TR48,Machines,Teaches the move Bulk Up.
1299,TR49,Machines,Teaches the move Calm Mind.
1300,TR50,Machines,Teaches the move Leaf Blade.
1301,TR51,Machines,Teaches the move Dragon Dance.
1302,TR52,Machines,Teaches the move Gyro Ball.
1303,TR53,Machines,Teaches the move Close Combat.
1304,TR54,Machines,Teaches the move Toxic Spikes.
1305,TR55,Machines,Teaches the move Flare Blitz.
1306,TR56,Machines,Teaches the move Aura Sphere.
1307,TR57,Machines,Teaches the move Poison Jab.
1308,TR58,Machines,Teaches the move Dark Pulse.
1309,TR59,Machines,Teaches the move Seed Bomb.
1310,TR60,Machines,Teaches the move X-Scissor.
1311,TR61,Machines,Teaches the move Bug Buzz.
1312,TR62,Machines,Teaches the move Dragon Pulse.
1313,TR63,Machines,Teaches the move Power Gem.
1314,TR64,Machines,Teaches the move Focus Blast.
1315,TR65,Machines,Teaches the move Energy Ball.
1316,TR66,Machines,Teaches the move Brave Bird.
1317,TR67,Machines,Teaches the move Earth Power.
1318,TR68,Machines,Teaches the move Nasty Plot.
1319,TR69,Machines,Teaches the move Zen Headbutt.
1320,TR70,Machines,Teaches the move Flash Cannon.
1321,TR71,Machines,Teaches the move Leaf Storm.
1322,TR72,Machines,Teaches the move Power Whip.
1323,TR73,Machines,Teaches the move Gunk Shot.
1324,TR74,Machines,Teaches the move Iron Head.
1325,TR75,Machines,Teaches the move Stone Edge.
1326,TR76,Machines,Teaches the move Stealth Rock.
1327,TR77,Machines,Teaches the move Grass Knot.
1328,TR78,Machines,Teaches the move Sludge Wave.
1329,TR79,Machines,Teaches the move Heavy Slam.
1330,TR80,Machines,Teaches the move Electro Ball.
1331,TR81,Machines,Teaches the move Foul Play.
1332,TR82,Machines,Teaches the move Stored Power.
1333,TR83,Machines,Teaches the move Ally Switch.
1334,TR84,Machines,Teaches the move Scald.
1335,TR85,Machines,Teaches the move Work Up.
1336,TR86,Machines,Teaches the move Wild Charge.
1337,TR87,Machines,Teaches the move Drill Run.
1338,TR88,Machines,Teaches the move Heat Crash.
1339,TR89,Machines,Teaches the move Hurricane.
1340,TR90,Machines,Teaches the move Play Rough.
1341,TR91,Machines,Teaches the move Venom Drench.
1342,TR92,Machines,Teaches the move Dazzling Gleam.
1343,TR93,Machines,Teaches the move Darkest Lariat.
1344,TR94,Machines,Teaches the move High Horsepower.
1345,TR95,Machines,Teaches the move Throat Chop.
1346,TR96,Machines,Teaches the move Pollen Puff.
1347,TR97,Machines,Teaches the move Psychic Fangs.
1348,TR98,Machines,Teaches the move Liquidation.
1349,TR99,Machines,Teaches the move Body Press.
1350,Tropical Shell,General items,
1351,Tropius Leaf,General items,"Material obtained after defeating/catching Tropius, used in TM crafting."
1352,Tumblestone,General items,
1353,Twice-Spiced Radish,General items,
1354,Twisted Spoon,Hold items,Increases the power of Psychic-type moves.
1355,Tynamo Slime,General items,"Material obtained after defeating/catching Tynamo, used in TM crafting."
1356,Tyranitarite,Hold items,Enables Tyranitar to Mega Evolve during battle.
1357,Ultra Ball,Pokeballs,Catches wild Pokémon with 2x the rate of a Poké Ball.
1358,Ultranecrozium Z,Hold items,"Allows Ultra Necrozma to upgrade Photon Geyser to a Z-Move, Light That Burns the Sky."
1359,Unremarkable Teacup,General items,Evolves Poltchageist into Sinistcha.
1360,Upgrade,General items,Evolves Porygon when traded holding the item.
1361,Utility Umbrella,Hold items,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of weather.
1362,Varoom Fume,General items,"Material obtained after defeating/catching Varoom, used in TM crafting."
1363,Vee-Vee Pick,None,"A pick designed after Eevee, sporting the Pokémon’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular."
1364,Veluza Fillet,General items,"Material obtained after defeating/catching Veluza, used in TM crafting."
1365,Venonat Fang,General items,"Material obtained after defeating/catching Venonat, used in TM crafting."
1366,Venusaurite,Hold items,Enables Venusaur to Mega Evolve during battle.
1367,Vinegar,None,A very sour condiment. Vinegars derived from grapes are popular in Paldea. Highly effective when used to add just a light note of flavor.
1368,Violet Book,None,"A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Turo” written on it in clumsy handwriting."
1369,Vivichoke,General items,
1370,Voltorb Sparks,General items,"Material obtained after defeating/catching Voltorb, used in TM crafting."
1371,Wacan Berry,Berries,Weakens a supereffective Electric-type attack against the holding Pokémon.
1372,Wasabi,None,"This very spicy condiment seems close to horseradish at first, but you’ll find that it has a superb flavor all its own."
1373,Water Gem,Hold items,Increases the power of a Water-type move only once.
1374,Water Memory,Hold items,Changes Silvally and its move Multi-Attack to Water type.
1375,Water Stone,General items,Evolves certain species of Pokémon.
1376,Water Tera Shard,None,Changes a Pokémon's Tera Type to .
1377,Watercress,None,A very bitter ingredient that stands out among veggies for its quirky flavor. People tend to either like it or not like it—they rarely sit on the fence.
1378,Waterium Z,Hold items,"Allows the use of Hydro Vortex, the Water type Z-Move."
1379,Watmel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
1380,Wattrel Feather,General items,"Material obtained after defeating/catching Wattrel, used in TM crafting."
1381,Wave Incense,Hold items,Increases the power of Water-type moves. Breeding Mantine produces Mantyke when held.
1382,Weakness Policy,Hold items,Sharply raises Attack and Special Attack if hit by a super-effective move.
1383,Wepear Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
1384,Whimsical Tablecloth,None,A tablecloth made in collaboration with a popular picture-book author. The gently drawn Pokémon make even the loveliest picnic table more charming.
1385,Whipped Cream,None,A very sweet condiment. Folks in Paldea seem to love the varieties that really let the sweetness sing.
1386,Whipped Dream,General items,Evolves Swirlix when traded holding the item.
1387,White Apricorn,General items,A white Apricorn. It doesn't smell like anything.
1388,White Dish,None,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The white variety comes recommended by sellers.
1389,White Flute,General items,A toy flute made from white glass. A maniac will buy it for a high price.
1390,White Herb,Hold items,An item to be held by a POKéMON. It restores any lowered stat in battle. It can be used only once.
1391,Wide Lens,Hold items,Increases the accuracy of moves.
1392,Wiglett Sand,General items,"Material obtained after defeating/catching Wiglett, used in TM crafting."
1393,Wiki Berry,Berries,"Restores HP if it's low, but may cause confusion."
1394,Wing Ball,Pokeballs,
1395,Wingull Feather,General items,"Material obtained after defeating/catching Wingull, used in TM crafting."
1396,Winking Pika Pick,None,"A Pick-achu, if you will, sporting Pikachu’s winking face. It’s easy to grab by the ears, which is part of why it’s so popular."
1397,Wise Glasses,Hold items,Increases the power of Special-category moves.
1398,Wishing Piece,General items,Activates a Pokémon Den for a Max Raid Battle.
1399,Wood,General items,
1400,Wooper Slime,General items,"Material obtained after defeating/catching Wooper, used in TM crafting."
1401,X Accuracy,Battle items,Raises Accuracy of a Pokémon in battle.
1402,X Accuracy 2,Battle items,Sharply raises Accuracy of a Pokémon in battle.
1403,X Accuracy 3,Battle items,Drastically raises Accuracy of a Pokémon in battle.
1404,X Accuracy 6,Battle items,Immensely raises Accuracy of a Pokémon in battle.
1405,X Attack,Battle items,Raises Attack of a Pokémon in battle.
1406,X Attack 2,Battle items,Sharply raises Attack of a Pokémon in battle.
1407,X Attack 3,Battle items,Drastically raises Attack of a Pokémon in battle.
1408,X Attack 6,Battle items,Immensely raises Attack of a Pokémon in battle.
1409,X Defense,Battle items,Raises Defense of a Pokémon in battle.
1410,X Defense 2,Battle items,Sharply raises Defense of a Pokémon in battle.
1411,X Defense 3,Battle items,Drastically raises Defense of a Pokémon in battle.
1412,X Defense 6,Battle items,Immensely raises Defense of a Pokémon in battle.
1413,X Sp. Atk,Battle items,Raises Special Attack of a Pokémon in battle.
1414,X Sp. Atk 2,Battle items,Sharply raises Special Attack of a Pokémon in battle.
1415,X Sp. Atk 3,Battle items,Drastically raises Special Attack of a Pokémon in battle.
1416,X Sp. Atk 6,Battle items,Immensely raises Special Attack of a Pokémon in battle.
1417,X Sp. Def,Battle items,Raises Special Defense of a Pokémon in battle.
1418,X Sp. Def 2,Battle items,Sharply raises Special Defense of a Pokémon in battle.
1419,X Sp. Def 3,Battle items,Drastically raises Special Defense of a Pokémon in battle.
